"","year","state","state_abv","total_ballots_counted","vote_for_highest_office","vap","noncitizen_pct","ineligible_prison","ineligible_probation","ineligible_parole","ineligible_felons_total","eligible_overseas","vep","vep_turnout_rate","vap_turnout_rate","state_totalvotes","democrat_vote","green_vote","other_vote","republican_vote","libertarian_vote","democrat_vote_perc","green_vote_perc","other_vote_perc","republican_vote_perc","libertarian_vote_perc","crime.population","crime.rates.property.all","crime.rates.property.burglary","crime.rates.property.larceny","crime.rates.property.motor","crime.rates.violent.all","crime.rates.violent.assault","crime.rates.violent.murder","crime.rates.violent.rape","crime.rates.violent.robbery","crime.totals.property.all","crime.totals.property.burglary","crime.totals.property.larceny","crime.totals.property.motor","crime.totals.violent.all","crime.totals.violent.assault","crime.totals.violent.murder","crime.totals.violent.rape","crime.totals.violent.robbery"
"633",1998,"Delaware","DE",NA,180527,576849,3.4,5558,20030,572,16145,NA,541091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,744000,4600.8,859.5,3313,428.2,762.4,498.3,2.8,67.1,194.2,34230,6395,24649,3186,5672,3707,21,499,1445
"634",1998,"District of Columbia","DC",137523,135501,452668,9.8,9829,0,0,9829,NA,398478,34.51,30.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,523000,7117,1216.3,4657.7,1243,1718.5,943,49.7,36.3,689.5,37222,6361,24360,6501,8988,4932,260,190,3606
"635",1998,"Florida","FL",4070262,3965751,12001902,10,67224,283965,6487,215694,NA,10586018,38.45,33.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14916000,5947.4,1361.7,3886.8,698.9,938.7,639.9,6.5,49.6,242.7,887107,203105,579752,104250,140016,95447,967,7404,36198
"636",1998,"Georgia","GA",1842145,1792880,5828114,5.2,39262,278669,20482,199079,NA,5325973,34.59,31.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7642000,4890.3,990.8,3342.8,556.6,572.7,347,8.1,30.4,187.2,373717,75720,255459,42538,43762,26514,618,2322,14308
"637",1998,"Hawaii","HI",412520,407556,910645,8.1,4924,0,0,4924,NA,831959,49.58,45.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1193000,5086.1,936.2,3681,468.9,246.9,112.7,2,29.5,102.7,60677,11169,43914,5594,2946,1345,24,352,1225
"638",1998,"Idaho","ID",386720,381248,896422,3.5,4083,31172,1309,20978,NA,844069,45.82,43.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1229000,3432.5,693.1,2553.7,185.7,282.2,226.4,2.9,31.4,21.5,42185,8518,31385,2282,3468,2782,36,386,264
"639",1998,"Illinois","IL",3541379,3394521,9070725,8.2,43051,0,0,43051,NA,8283875,42.75,39.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12045000,4050.8,811.9,2799.4,439.5,807.7,516.9,8.4,34,248.5,487915,97792,337191,52932,97291,62261,1008,4095,29927
"640",1998,"Indiana","IN",1618689,1588617,4457578,2,19197,0,0,19197,NA,4349229,37.22,36.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5899000,3738.4,789.2,2590.1,359.2,431,279,7.7,33.1,111.2,220529,46552,152790,21187,25423,16456,454,1952,6561
"641",1998,"Iowa","IA",973032,956415,2176940,2.1,7394,18447,2194,18812,NA,2112412,46.06,44.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2862000,3189.1,673.7,2306.6,208.7,311.5,233.3,1.9,25.4,50.9,91272,19282,66016,5974,8916,6678,54,728,1456
"642",1998,"Kansas","KS",743288,727236,1955236,3.5,8183,0,6025,14208,NA,1872595,39.69,38.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2629000,4454.7,950.3,3245.7,258.7,417.3,280.9,6.6,42.9,87,117114,24984,85329,6801,10972,7384,173,1128,2287
"643",1998,"Kentucky","KY",1215053,1145414,2999287,1.3,14987,17594,4508,28292,NA,2932004,41.44,40.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3936000,2787.6,711.3,1828.5,247.8,328,205.7,6,28.1,88.1,109721,27998,71971,9752,12909,8097,237,1107,3468
"644",1998,"Louisiana","LA",990243,969165,3216121,1.6,32228,33028,18759,67501,NA,3097162,31.97,30.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4369000,5318.8,1172.1,3605.1,541.6,779.5,531.9,12.8,36.8,198,232378,51210,157507,23661,34057,23237,560,1609,8651
"645",1998,"Maine","ME",NA,486808,957916,1.5,0,0,0,0,NA,943547,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1244000,2914.9,666.8,2126.8,121.3,125.9,84.6,2.1,18.1,21.1,36261,8295,26457,1509,1566,1052,26,225,263
"646",1998,"Maryland","MD",1556994,1535978,3879108,6,22572,78051,15528,77126,NA,3569236,43.62,40.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5135000,4569.1,922.9,3096.8,549.4,796.6,454.5,10,33.4,298.7,234624,47393,159019,28212,40903,23337,513,1714,15339
"647",1998,"Massachusetts","MA",1935277,1903336,4793966,7.6,0,0,0,0,NA,4429625,43.69,40.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6147000,2814.6,607.3,1777.7,429.5,621.3,495.2,2,27.4,96.6,173011,37333,109275,26403,38192,30443,124,1687,5938
"648",1998,"Michigan","MI",3143432,3036886,7276123,3.1,45879,0,0,45879,NA,7004684,44.88,43.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9817000,4062.1,837.8,2630,594.3,620.8,407.3,7.3,50.4,155.8,398773,82249,258186,58338,60947,39987,721,4946,15293
"649",1998,"Minnesota","MN",2105343,2091766,3555108,3.3,5572,100818,2995,58976,NA,3378813,62.31,59.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4725000,3736.3,687.5,2723.6,325.2,310.2,165.2,2.6,49.9,92.5,176541,32486,128689,15366,14656,7806,121,2358,4371
"650",1998,"Mississippi","MS",NA,550694,2038324,0.9,16678,11530,1489,23932,NA,1996047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2752000,3973.3,1144.5,2490,338.7,410.7,238.6,11.4,37.3,123.3,109345,31498,68525,9322,11302,6567,315,1026,3394
"651",1998,"Missouri","MO",NA,1576857,4106478,1.7,24974,49992,10366,60336,NA,3976332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5439000,4270.7,872.5,2948.4,449.8,555.7,372.2,7.3,26.9,149.2,232284,47455,160363,24466,30222,20244,399,1463,8116
"652",1998,"Montana","MT",338733,331551,662582,0.9,2734,0,0,2734,NA,653885,51.8,51.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,880000,4155,519.9,3402.3,232.8,204.2,149.1,2,26.7,26.4,36564,4575,29940,2049,1797,1312,18,235,232
"653",1998,"Nebraska","NE",581775,545238,1247656,3,3676,16527,624,12564,NA,1197662,48.58,46.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1663000,3953.8,634,2971.7,348,451.4,345.7,3.1,25.1,77.6,65752,10544,49420,5788,7507,5749,51,417,1290
"654",1998,"Nevada","NV",440042,435790,1402851,10.7,9651,12561,4055,19987,NA,1232759,35.7,31.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1747000,4636.9,1137.6,2711.3,788,643.6,326.8,9.7,52.1,254.9,81006,19873,47367,13766,11244,5710,170,911,4453
"655",1998,"New Hampshire","NH",330555,318940,903630,2.5,2169,0,0,2169,NA,878870,37.61,36.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1185000,2312.7,325.1,1863.2,124.4,107.2,50.4,1.5,33.8,21.5,27405,3852,22079,1474,1270,597,18,400,255
"656",1998,"New Jersey","NJ",1894496,1813094,6261197,10.3,31121,129377,13218,109028,NA,5507266,34.4,30.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8115000,3213.9,671.1,2109.3,433.6,440.2,230,4,20,186.2,260810,54459,171166,35185,35720,18663,325,1623,15109
"657",1998,"New Mexico","NM",517355,498703,1286104,5.8,4985,10397,1773,11957,NA,1199553,43.13,40.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1737000,5757.7,1394,3743.9,619.9,961.4,732,10.9,55.1,163.4,100011,24213,65031,10767,16700,12714,190,957,2839
"658",1998,"New York","NY",4989877,4735236,14139223,12.4,70001,0,59548,129549,NA,12256410,40.71,35.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18175000,2950.7,576.7,1998.9,375.1,637.8,341.3,5.1,21.1,270.3,536287,104821,363295,68171,115915,62023,924,3843,49125
"659",1998,"North Carolina","NC",NA,2012143,5948653,3.9,31961,105227,5806,90381,NA,5626275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7546000,4742.8,1324.6,3092,326.2,579.4,379.9,8.1,30.6,160.8,357892,99951,233325,24616,43723,28667,612,2311,12133
"660",1998,"North Dakota","ND",217584,213358,481790,1.1,915,0,0,915,NA,475575,45.75,45.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,638000,2591.7,356.4,2058.6,176.6,89.3,44.8,1.1,33.2,10.2,16535,2274,13134,1127,570,286,7,212,65
"661",1998,"Ohio","OH",3534782,3404351,8424249,1.6,48450,0,0,48450,NA,8241011,42.89,41.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11209000,3965,810.1,2771.1,383.8,362.5,184.5,4,40.5,133.5,444438,90805,310612,43021,40628,20682,443,4543,14960
"662",1998,"Oklahoma","OK",NA,873585,2518285,2.6,20892,29093,1532,36971,NA,2415839,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3347000,4464.5,1143.4,2915.8,405.3,539.4,396.1,6.1,45.2,92,149426,38268,97593,13565,18053,13258,204,1513,3078
"663",1998,"Oregon","OR",1160400,1117747,2526500,5.8,8927,0,0,8927,NA,2371036,48.94,45.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3282000,5226.8,927.5,3773.3,526,419.8,271,3.8,39.8,105.2,171545,30442,123841,17262,13778,8893,126,1307,3452
"664",1998,"Pennsylvania","PA",NA,3025152,9314795,2.2,36377,0,0,36377,NA,9073493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12001000,2852.4,531.4,1965.4,355.5,420.5,223.5,5.3,26.9,164.9,342318,63777,235873,42668,50470,26827,633,3223,19787
