"year","state","state_abv","state_party_control","...1","democrat_county_vote","republican_county_vote","other_county_vote","county_totalvotes","state_totalvotes","vep","vap","statecrime.population","statecrime.rates.property.all","statecrime.rates.property.burglary","statecrime.rates.property.larceny","statecrime.rates.property.motor","statecrime.rates.violent.all","statecrime.rates.violent.assault","statecrime.rates.violent.murder","statecrime.rates.violent.rape","statecrime.rates.violent.robbery","statecrime.totals.property.all","statecrime.totals.property.burglary","statecrime.totals.property.larceny","statecrime.totals.property.motor","statecrime.totals.violent.all","statecrime.totals.violent.assault","statecrime.totals.violent.murder","statecrime.totals.violent.rape","statecrime.totals.violent.robbery"
2000,"South carolina","SC","NA",108261,566039,786426,31312,1383777,63653742,133876100,139167480,184552552,207860.2,44587.8,143759.2,17871,38092.6,28727,335.8,1904.4,7130,8339340,1854674,5767710,716956,1528350,1152484,13386,76360,286120
2000,"South dakota","SD","NA",159027,118804,190700,6765,316269,20873754,36009666,36621750,49819704,142098,25324.2,109804.2,6976.19999999999,11008.8,7134.60000000001,59.3999999999999,2666.4,1148.4,1072632,191136,828828,52668,83094,53856,462,20130,8646
2000,"Tennessee","TN","NA",236550,981720,1061949,32512,2076181,197237195,396228850,410057145,540481885,397385,94087.9999999999,257336,45970.5000000001,67183.9999999999,47044,684,3648.00000000001,15808,22608575,5352680,14640545,2615350,3822135,2676340,38950,207670,899175
2000,"Texas","TX","NA",676783,2433746,3799639,174252,6407637,1627539798,3279983534,3845170872,5296362280,1120241.6,230200.199999999,776579.600000004,113487.2,138455.400000001,90500.2000000004,1498.6,9575.8,36855.3999999998,233593132,47999650,161930588,23662894,28867862,18872708,314452,1995424,7685278
2000,"Utah","UT","NA",81374,203053,515096,52605,770754,22351866,41634894,44513550,64761901,122388.7,18632.5,95366.5,8389.7,7415.3,4625.5,55.1,1119.4,1612.4,2733163,416092,2129702,187369,165619,103327,1247,25027,36018
2000,"Vermont","VT","NA",39585,149022,119775,25511,294308,4120312,6359262,6489042,8523578,40227.6,8050,30317,1860.6,1589,977.2,21,322,268.8,244916,49014,184576,11326,9674,5950,126,1960,1638
2000,"Virginia","VA","NA",373971,1216422,1436877,84616,2737915,353191035,649505970,695182032,913128435,354285.6,55457.1000000001,266359.199999999,32456.3999999999,36339.3,21194.7,735.300000000001,2941.2,11468.1,25078245,3925986,18854382,2297877,2572647,1500399,51729,208464,812055
2000,"Washington","WA","NA",116337,1247652,1108864,131925,2488441,97049199,156882375,172376373,229870719,184704,35384.7,126149.4,23169.9,14418.3,8630.7,128.7,1809.6,3845.4,10886616,2085564,7435350,1365702,849732,508677,7644,106743,226668
2000,"West virginia","WV","NA",166650,295497,336475,16152,648124,35646820,76368325,77276155,99458920,125746.5,30079.5,85585.5,10081.5,17407.5,13981,137.5,1006.5,2277,2273920,543950,1547645,182325,314765,252835,2530,18205,41195
2000,"Wisconsin","WI","NA",222732,1242987,1237279,118341,2598607,187099704,278125272,289180872,386184600,214005.6,33804,160552.8,19648.8,17049.6,9165.6,230.4,1562.4,6091.2,11478528,1813176,8611560,1053792,914400,491688,12168,83880,326664
2000,"Wyoming","WY","NA",72243,60481,147947,9923,218351,5022073,8208401,8432697,11356986,69724.5,9678.4,57375.8,2668,6129.5,5002.5,55.2,745.2,326.6,344287,47794,283314,13179,30268,24702,276,3680,1610
2004,"Alabama","AL","Democratic",213462,693933,1176394,13088,1883415,126188805,221753585,229645314,303200125,269963.1,66129,183070.8,20763.3,28609,16709.8,375.2,2579.5,8944.5,12216780,2992622,8284550,939608,1294708,756162,17018,116714,404814
2004,"Alaska","AK","NA",132840,180365,292267,16061,488693,20036413,18412403,19531498,26967955,138206.9,23517.6,100724.7,13964.6,25924.3,19429.9,229.6,3476.8,2788,909052,154693,662519,91840,170519,127797,1517,22878,18327
2004,"Arizona","AZ","Split",49020,893524,1104294,14767,2012585,30188775,54883890,63235590,86098185,76099.5,14865,46780.5,14452.5,7566,4944,108,495,2017.5,4368045,853275,2685180,829590,434280,283815,6210,28440,115815
2004,"Arkansas","AR","Democratic",248475,468631,572770,12293,1053694,79027050,147904275,155473950,206250000,302482.5,82230,202477.5,17775,37672.5,27502.5,479.999999999999,3225,6472.50000000001,8318325,2261325,5568150,488850,1036050,756225,13200,88725,177900
2004,"California","CA","Democratic",196011,6737355,5501496,144827,12383678,718253324,1220081214,1522299784,2078838204,198586.2,39793.8,117919.8,40878.4,30612.4,18676,388.6,1554.4,9993.4,71177252,14262374,42263846,14651032,10972150,6693200,138736,557670,3582544
2004,"Colorado","CO","Split",220192,1001732,1101255,26643,2129630,136296320,202098432,220362496,294516544,250784,45907.2,171488,33382.4,23808,15628.8,281.6,2707.2,5203.20000000001,11540608,2112640,7891712,1536256,1095744,719104,12864,124480,239296
2004,"Connecticut","CT","Split",31293,857488,693826,27455,1578769,14208921,21927402,23873283,31490694,24164.1,4104.9,17174.7,2884.5,2601,1304.1,26.1,194.4,1077.3,845478,143631,600930,100917,91017,45630,900,6795,37692
2004,"Delaware","DE","NA",10449,200141,171651,3378,375170,1125510,1765899,1906110,2490207,9850.8,2049,6969.9,831.9,1845,1220.4,10.2,129,485.4,81768,17007,57855,6906,15315,10131,84,1071,4029
2004,"District of columbia","DC","NA",3485,202970,21256,3360,227586,227586,412882,458758,554239,4852.8,712,2623.8,1517,1369.4,715.9,35.7,40.1,577.7,26896,3946,14542,8408,7590,3968,198,222,3202
2004,"Florida","FL","Republican",235773,3583544,3964522,61744,7609810,509857270,796329371,914136476,1164823810,280227.5,64098.8999999999,185938.4,30183.5,47690.6,33218.6,361.8,2546,11557.5,48718447,11144244,32326428,5247775,8291518,5775333,63382,443004,2009799
2004,"Georgia","GA","Democratic",577488,1366149,1914254,18387,3298790,524507610,918340593,1033392675,1417982511,671536.5,147965.4,444691.199999999,78864,71709,42007.8,1097.1,4261.20000000001,24342.9,59888304,13195728,39658734,7033842,6394503,3746199,97467,379533,2171304
2004,"Hawaii","HI","Split",14854,231335,194116,3104,428555,1714220,3597152,3931528,5048496,19182,3431.2,13018.8,2732,1018.4,603.2,10.4,105.6,299.2,242100,43308,164312,34480,12852,7612,132,1332,3776
2004,"Idaho","ID","Split",164450,181098,409235,8043,598376,26328544,41519148,44715220,61386160,122364,24191.2,89531.2000000001,8637.2,10885.6,8157.59999999999,96.8000000000001,1874.4,761.2,1707156,337524,1249116,120516,151888,113784,1364,26136,10604
2004,"Illinois","IL","Split",388671,2891989,2346608,36818,5275415,538092330,867184926,957924840,1296625632,323758.2,61057.1999999999,230305.8,32395.1999999999,55661.3999999999,33527.4,622.200000000001,3386.39999999999,18115.2,41155572,7760976,29276550,4118046,7075230,4261866,79560,430440,2303364
2004,"Indiana","IN","Split",359490,969011,1479438,19553,2468002,227056184,414972716,428734444,572841404,313131.2,62302.3999999999,219668.4,31160.4,29982.8,17434,469.200000000001,2668,9420.79999999998,19497468,3879456,13677640,1940372,1867048,1085784,29072,165876,586316
2004,"Iowa","IA","Split",396297,741898,751957,13053,1506908,149183892,213681204,221757921,292337496,287575.2,60102.8999999999,208583.1,18889.2,28492.2,21839.4,148.5,2623.5,3890.70000000001,8491725,1774872,6159186,557667,841401,644787,4356,77418,114840
2004,"Kansas","KS","Republican",431025,434993,736456,16307,1187756,124714380,202074810,213440115,287038185,421627.5,77385,311556.000000001,32686.4999999999,39679.5000000001,27867,472.5,4389.00000000001,6961.50000000001,11525955,2115330,8517075,893550,1084650,761670,12810,119910,190260
2004,"Kentucky","KY","Split",506100,712733,1069439,13688,1795860,215503200,367365000,378895680,497020200,304824.000000001,75048,204360,25415.9999999999,29411.9999999999,15672,684.000000000001,3588.00000000001,9467.99999999998,12625080,3108240,8464200,1052640,1218240,649200,28320,148560,392160
2004,"Louisiana","LA","Democratic",275808,820299,1102169,20638,1943106,124358784,207278784,216315968,288427840,282822.4,64416,190406.4,27993.6,40960,28531.2,812.800000000001,2297.6,9324.8,12745792,2902976,8581120,1261696,1846016,1285760,36736,103424,420096
2004,"Maine","ME","Split",73950,364153,308997,13360,686510,11670670,17096730,17374731,22354745,41032.9,8197.4,31150.8,1684.7,1762.9,958.8,23.8,408,374,539580,107797,409632,22151,23188,12614,306,5355,4913
2004,"Maryland","MD","Democratic",104892,1334493,1024703,27482,2386678,57280272,91249080,100305024,133471968,87376.8,15840,56054.4,15484.8,16814.4,10509.6,225.6,568.8,5512.8,4859376,880896,3117312,861168,935064,584424,12504,31608,306528
2004,"Massachusetts","MA","Democratic",61453,1803800,1071109,37479,2912388,40773432,63151424,69101018,89703348,34554.8,7537.6,22199.8,4817.4,6442.8,4379.2,37.8,392,1635.2,2214100,482958,1422470,308672,412846,280560,2394,25116,104776
2004,"Michigan","MI","Republican",368354,2479183,2313746,46323,4839252,401657916,597988938,623211144,838649098,254486.3,52763.0999999999,160173.4,41549.7999999999,40852.6,26510.2,531.199999999999,4506.90000000001,9312.6,25713815,5331339,16184004,4198472,4128171,2678908,53369,455006,940888
2004,"Minnesota","MN","Split",393501,1444751,1346451,36648,2827850,246022950,313241760,332254740,443399502,264619.2,47876.1,193670.7,23072.4,23472.6,12710.7,191.4,3627.89999999999,6951.29999999999,13486653,2440176,9870411,1176066,1196337,647715,9831,184701,354090
2004,"Mississippi","MS","Democratic",377815,440034,666295,8530,1114859,91418438,170150574,174961842,237862976,285450.2,78195.2,184992,22271.2,24222.8,13218.4,639.6,3280,7076.60000000001,8280360,2268202,5366080,646078,702576,383514,18614,95202,205246
